,pais_origem,pais_destino,qtde_voos
0,Algeria,Argentina,0.0013698630136986301
1,Algeria,Austria,0.17397260273972603
2,Algeria,Belgium,0.2534246575342466
3,Algeria,Brazil,0.021917808219178082
4,Algeria,Canada,0.2726027397260274
5,Algeria,France,10.438356164383562
6,Algeria,Germany,0.7191780821917808
7,Algeria,Greece,0.00684931506849315
8,Algeria,Hungary,0.0273972602739726
9,Algeria,India,0.00410958904109589
10,Algeria,Indonesia,0.005479452054794521
11,Algeria,Israel,0.00410958904109589
12,Algeria,Italy,1.273972602739726
13,Algeria,Japan,0.0013698630136986301
14,Algeria,Jordan,0.0013698630136986301
15,Algeria,Kazakhstan,0.0013698630136986301
16,Algeria,Lebanon,0.07260273972602739
17,Algeria,Luxembourg,0.0013698630136986301
18,Algeria,Malaysia,0.0027397260273972603
19,Algeria,Mali,0.03561643835616438
20,Algeria,Malta,0.005479452054794521
21,Algeria,Mauritania,0.024657534246575342
22,Algeria,Morocco,0.03424657534246575
23,Algeria,Norway,0.0013698630136986301
24,Algeria,Pakistan,0.0013698630136986301
25,Algeria,Philippines,0.0013698630136986301
26,Algeria,Portugal,0.13150684931506848
27,Algeria,Qatar,0.363013698630137
28,Algeria,Russia,0.06164383561643835
29,Algeria,Saudi Arabia,0.07260273972602739
30,Algeria,Senegal,0.27808219178082194
31,Algeria,Serbia,0.0013698630136986301
32,Algeria,South Africa,0.00410958904109589
33,Algeria,Spain,2.304109589041096
34,Algeria,Sweden,0.0027397260273972603
35,Algeria,Switzerland,0.31917808219178084
36,Algeria,Tunisia,0.010958904109589041
37,Algeria,Turkey,0.42191780821917807
38,Algeria,United Arab Emirates,0.6712328767123288
39,Algeria,United Kingdom,0.5931506849315068
40,Algeria,United States,0.012328767123287671
41,Anguilla,Puerto Rico,0.0013698630136986301
42,Argentina,Algeria,0.009589041095890411
43,Argentina,Aruba,0.0013698630136986301
44,Argentina,Australia,0.07671232876712329
45,Argentina,Austria,0.0013698630136986301
46,Argentina,Belgium,0.0410958904109589
47,Argentina,Bermuda,0.0013698630136986301
48,Argentina,Bolivia,0.5616438356164384
49,Argentina,Brazil,11.375342465753425
50,Argentina,Canada,0.44794520547945205
51,Argentina,Cape Verde,0.00410958904109589
52,Argentina,Chile,1.4972602739726026
53,Argentina,Colombia,0.0821917808219178
54,Argentina,Costa Rica,0.03287671232876712
55,Argentina,Czech Republic,0.0027397260273972603
56,Argentina,Dominican Republic,0.00410958904109589
57,Argentina,Ecuador,0.1863013698630137
58,Argentina,France,0.6808219178082192
59,Argentina,Germany,0.7273972602739726
60,Argentina,Greece,0.00410958904109589
61,Argentina,Hong Kong,0.012328767123287671
62,Argentina,Italy,1.2342465753424658
